Depth,PrunedNodes
7685864,127
13214040,63
7687624,15
7687144,15
13198480,62
7710792,127
7686184,63
7685928,15
7686120,31
13192496,92
7941440,227
7686568,31
7684904,127
7685672,31
13422992,63
8143248,63
7857216,15
7685640,62
7685608,31
13425264,63
7685544,31
13207992,63
7685512,31
13216632,31
13181904,34
8413568,317
7684744,63
7952160,271
7711528,63
7686984,63
13195152,30
8003744,15
7684552,31
7683752,63
8418272,126
7991392,127
7699656,125
7699240,127
7862080,15
13215224,31
7862144,30
13197584,46
7860992,31
13197776,125
7859872,102
13191984,208
13191408,138
13422448,63
13192112,93
13191728,61
7861280,60
7860096,63
13180464,107
7860256,91
13421840,31
13192848,93
13192432,101
13193136,46
13192784,15
13215640,31
8163512,31
13193040,125
13420752,125
8428784,127
8408160,31
13193168,70
13192912,78
13191696,125
13191632,217
13191472,108
13419184,63
13191664,154
13192336,156
7860128,123
7859296,174
13191568,69
13191920,38
8407520,7
8407776,15
8407616,15
8408000,31
8407872,15
8408032,15
8414720,127
8423072,31
7948704,124
8155792,127
8004832,127
13215320,31
8421792,63
7949984,63
8423616,7
7953152,94
13191536,93
8423104,15
7824248,31
8423008,31
13192880,62
8421824,31
8422752,190
8422432,15
7843296,31
8422336,31
8422304,31
7996768,15
13215864,63
8422176,31
7954592,63
13181136,204
13205552,63
8421376,31
8420864,126
8421440,15
13198096,62
8419840,63
8420512,15
7682912,31
8420576,94
7857632,123
7954400,63
8420352,189
7857664,244
8420320,31
